"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
222.0,1.1969700,-0.428038,0.2111140,0.580305,-5.753940,-1.31093000,1.4737200,-0.8419190,-1.9176200,-0.00186110,0.8715720,-0.0554245
221.0,1.1863000,-0.290442,-0.0069728,0.800143,-5.966910,-1.33513000,1.5462800,-1.6423400,-1.8303200,-0.33704100,0.7774510,0.1003380
220.0,0.9563410,-0.393150,-0.3328820,0.795929,-6.228090,-1.44298000,1.3546500,-2.5689800,-1.8934500,-1.02754000,0.5090640,-0.0381528
219.0,0.6346060,-0.461753,-0.7710560,0.705655,-6.375290,-1.55610000,1.1755300,-3.4298900,-1.9719600,-1.61899000,0.2318030,-0.2277810
218.0,0.3687240,-0.394657,-1.1636600,0.614358,-6.071790,-1.62155000,1.0050300,-4.0610100,-1.8858600,-2.09949000,0.1790070,-0.2516690
217.0,0.0168139,-0.515220,-1.5406900,0.347021,-5.730860,-1.71606000,0.7358260,-4.5810500,-1.8534400,-2.59050000,-0.0288849,-0.4753160
216.0,-0.5043260,-0.850298,-2.1903500,-0.145439,-5.365390,-2.03906000,0.2845660,-5.1905500,-1.9340400,-3.17223000,-0.4922320,-0.8548530
215.0,-0.9534240,-1.020130,-2.7948100,-0.680853,-4.778780,-2.19843000,-0.0640734,-5.5447500,-2.0016300,-3.63867000,-0.8211590,-1.1395300
214.0,-1.2696300,-1.155930,-3.3059800,-1.156720,-3.921590,-2.29192000,-0.5159230,-5.7345000,-2.0475900,-4.11336000,-1.1098700,-1.4024200
213.0,-1.6642000,-1.399930,-3.8417800,-1.678160,-3.045690,-2.56722000,-1.0844200,-5.9235000,-2.1074800,-4.63381000,-1.5992000,-1.7520100
212.0,-2.0927100,-1.517440,-4.3603200,-2.123930,-1.828910,-2.95083000,-1.7164900,-6.0006600,-2.1517900,-5.07732000,-1.9906900,-2.0688100
211.0,-2.3491300,-1.656270,-4.8754300,-2.482140,-0.367928,-3.26943000,-2.3019700,-5.9554300,-2.1888700,-5.47056000,-2.2514000,-2.5142300
210.0,-2.6118500,-1.968640,-5.3616600,-2.826730,1.335210,-3.70303000,-2.9116900,-5.7766300,-2.0413800,-5.91538000,-2.4682500,-3.0269000
209.0,-3.0550800,-2.428770,-5.9056200,-3.366320,3.103140,-4.36716000,-3.7814200,-5.5278600,-1.8847600,-6.51432000,-2.8556400,-3.5805700
208.0,-3.5472200,-2.821060,-6.6252900,-3.954550,5.154780,-4.99068000,-4.7479800,-5.0718200,-1.7900500,-7.08130000,-3.2349800,-4.2518400
207.0,-3.9901100,-3.261240,-7.4648100,-4.655090,7.319400,-5.52369000,-5.9520900,-4.6678900,-1.6055000,-7.75437000,-3.6435200,-4.9598700
206.0,-4.5667200,-3.640100,-8.1861600,-5.364130,9.568800,-6.17098000,-7.3437700,-4.1539000,-1.4412700,-8.43975000,-3.9768500,-5.6344700
205.0,-5.2327500,-4.009620,-8.9573800,-6.112460,11.676800,-6.90260000,-8.8198900,-3.7114600,-1.3835800,-9.15961000,-4.4746600,-6.2987500
204.0,-5.7093100,-4.343330,-9.6717700,-6.784020,13.613300,-7.66512000,-10.1669000,-3.3014700,-1.4142800,-9.77595000,-4.7409300,-6.8716200
203.0,-6.0789100,-4.732020,-10.2376000,-7.373340,15.125300,-8.35251000,-11.4252000,-2.8811500,-1.4352600,-10.31250000,-4.9342400,-7.3361600
