"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
223.0,-0.0926859,-1.89936000,-0.5782770,-0.33110600,-6.385370,-1.95585000,0.00760426,-0.41672600,-1.5660500,-2.4536700,-0.10568900,-0.2109870
222.0,-0.1487170,-1.92729000,-0.8509740,-0.28534200,-7.035340,-2.02597000,-0.02942900,-0.68088900,-1.6350800,-2.7473600,-0.25157900,-0.1519450
221.0,-0.1741510,-1.89013000,-0.9322470,-0.18482500,-7.466090,-2.05340000,-0.05553510,-0.79476500,-1.5633000,-3.0923600,-0.39138100,-0.0894824
220.0,-0.1582950,-1.83565000,-0.8443430,-0.05866200,-7.757520,-2.04739000,-0.06275050,-0.87143900,-1.5178600,-3.2683300,-0.51409900,0.0406601
219.0,-0.2510190,-1.78370000,-0.9869420,-0.06083050,-7.883260,-2.12067000,-0.14688600,-1.08248000,-1.5325800,-3.4357900,-0.60187200,0.0490839
218.0,-0.4071580,-1.90237000,-1.1391700,-0.11965900,-7.821430,-2.15165000,-0.25314400,-1.30178000,-1.5814200,-3.6692700,-0.80090100,-0.0032893
217.0,-0.5397320,-2.02130000,-1.2224400,-0.14973600,-7.553990,-2.26374000,-0.27771400,-1.46360000,-1.5468700,-3.8622300,-1.01208000,-0.0745995
216.0,-0.7035310,-2.24553000,-1.3795000,-0.21681800,-7.182860,-2.44176000,-0.33748400,-1.64809000,-1.5909800,-4.0279800,-1.20688000,-0.2022970
215.0,-0.8474060,-2.42124000,-1.5749300,-0.37099500,-6.541250,-2.57020000,-0.38441800,-1.69645000,-1.5817100,-4.2431100,-1.33000000,-0.3248220
214.0,-0.9523570,-2.57408000,-1.6845800,-0.47382200,-5.696890,-2.68311000,-0.45647000,-1.69772000,-1.5591900,-4.5305700,-1.57790000,-0.4332330
213.0,-1.0684900,-2.62937000,-1.8227500,-0.57414800,-4.597670,-2.82800000,-0.51407700,-1.61474000,-1.4364500,-4.8325600,-1.71206000,-0.5231470
212.0,-1.2357700,-2.77278000,-1.9770600,-0.83610300,-3.215050,-3.11083000,-0.67330300,-1.61831000,-1.4261400,-5.1279400,-1.93398000,-0.7019010
211.0,-1.4271600,-2.96270000,-2.1903000,-1.11307000,-1.491490,-3.36899000,-0.84277900,-1.65420000,-1.4403400,-5.4875100,-2.20037000,-0.8350270
210.0,-1.6230300,-3.11858000,-2.4779900,-1.30212000,0.532102,-3.64489000,-1.00978000,-1.71387000,-1.4190700,-5.8594300,-2.44069000,-0.9716890
209.0,-1.7488600,-3.24264000,-2.7044200,-1.49061000,2.974050,-3.92026000,-1.13156000,-1.67561000,-1.3153300,-6.1848700,-2.62279000,-1.1199900
208.0,-1.8411700,-3.37798000,-2.9674100,-1.72065000,5.743010,-4.19296000,-1.32011000,-1.64850000,-1.2467100,-6.5295700,-2.85617000,-1.3540000
207.0,-1.9501200,-3.39154000,-3.2371300,-1.81068000,8.884160,-4.31505000,-1.44332000,-1.48014000,-1.0822600,-6.8802000,-2.96793000,-1.5413200
206.0,-2.0340100,-3.29579000,-3.3881900,-1.89046000,12.199300,-4.36340000,-1.52710000,-1.27886000,-0.8033330,-6.9550200,-3.04715000,-1.6659900
205.0,-2.1844000,-3.14997000,-3.5889500,-2.03272000,15.496800,-4.46908000,-1.71217000,-1.18498000,-0.5969670,-6.9351900,-3.27004000,-1.8999000
204.0,-2.3129900,-2.98304000,-3.8263600,-2.14049000,18.657000,-4.49835000,-1.86967000,-1.05874000,-0.4445850,-6.8116600,-3.46532000,-2.0862200
203.0,-2.3937800,-2.71008000,-4.0692900,-2.13496000,21.454600,-4.42956000,-1.92765000,-0.81979900,-0.2863650,-6.3132700,-3.49347000,-2.0997100
202.0,-2.3843600,-2.30352000,-4.1836500,-2.06765000,23.650800,-4.18348000,-2.06984000,-0.49050400,-0.1126680,-5.5364100,-3.52340000,-2.0551000
201.0,-2.1070300,-1.73373000,-4.2754500,-1.86816000,25.412900,-3.68321000,-2.09611000,-0.02293480,0.1025000,-4.6665700,-3.42271000,-2.0313200
200.0,-1.8005200,-1.11061000,-4.2772800,-1.65106000,26.330500,-3.11363000,-2.07511000,0.54358500,0.2417400,-3.6040200,-3.09405000,-1.9316900
199.0,-1.4697100,-0.30983800,-4.1630100,-1.36391000,26.215700,-2.28699000,-2.02495000,1.26958000,0.4552250,-2.3689700,-2.68959000,-1.7600000
198.0,-1.1221900,0.45546700,-3.9428700,-1.03319000,25.243700,-1.41897000,-1.97850000,1.93201000,0.7534880,-1.1030000,-2.31473000,-1.7062300
197.0,-0.7423630,1.14221000,-3.7042700,-0.78831500,23.718800,-0.51575900,-1.77048000,2.47304000,1.0512100,0.2305310,-1.85967000,-1.7567700
196.0,-0.4986110,1.89327000,-3.2414400,-0.61377400,21.481100,0.20577100,-1.49913000,2.91063000,1.3101200,1.6614200,-1.51147000,-1.6308400
195.0,-0.2977830,2.39982000,-2.7284300,-0.45253200,18.736900,0.98208100,-1.34182000,3.23776000,1.6480500,2.8311700,-1.31534000,-1.5648800
194.0,-0.1670410,2.54214000,-2.1732400,-0.26670800,15.975200,1.35059000,-1.19535000,3.25694000,1.9832800,3.9730000,-1.08823000,-1.5673900
193.0,-0.1634300,2.62790000,-1.7844900,-0.26627900,13.230200,1.54727000,-1.15072000,3.00657000,2.1154500,4.8582400,-1.08795000,-1.6551800
192.0,-0.1782560,2.74273000,-1.2496800,-0.16196200,10.211300,1.79409000,-1.05836000,2.90917000,2.2929000,5.4169300,-1.07516000,-1.8796000
191.0,-0.3003950,2.61420000,-0.9767530,-0.11883600,7.693560,1.97535000,-1.11385000,2.72601000,2.3792100,5.6137000,-1.08669000,-2.2952300
190.0,-0.3616840,2.60564000,-0.7131900,-0.02659700,5.969430,2.03396000,-1.03342000,2.61117000,2.4433200,5.8125200,-1.06986000,-2.6495200
