"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
214.0,-4.1173700,-5.01052000,-2.1108200,-7.9201900,-6.973440,-9.59515000,-4.2566000,-4.3359700,-8.51693000,-14.4775000,-8.673500,-9.18478000
213.0,-3.9064100,-4.40531000,-2.6085200,-6.8926300,-5.923130,-9.14392000,-3.6426900,-3.2900000,-7.84559000,-14.2125000,-8.673320,-7.65062000
212.0,-3.5751300,-3.59111000,-3.1542300,-5.5702800,-4.512290,-8.43051000,-2.7163000,-1.8970600,-6.89805000,-13.7785000,-8.481530,-5.68143000
211.0,-2.8848700,-2.50977000,-3.6146800,-3.7214900,-2.832760,-7.28997000,-1.5140800,-0.1091270,-5.56195000,-12.9043000,-8.035890,-3.34201000
210.0,-2.0864200,-1.24136000,-4.2332800,-1.5149400,-0.981530,-6.01964000,-0.0783553,2.0004000,-4.00155000,-11.7120000,-7.581400,-0.68501300
209.0,-1.1762900,0.23435400,-4.9702500,0.9939650,0.919967,-4.43512000,1.5237100,4.4991900,-2.16713000,-10.3957000,-6.965060,2.29684000
208.0,-0.0157769,2.06547000,-5.6843500,3.9813500,3.155690,-2.47458000,3.3831700,7.2426500,-0.06138400,-8.4883000,-5.960730,5.66937000
207.0,1.4847000,4.15203000,-6.3610700,7.4507800,5.746720,-0.18807700,5.3350000,10.2934000,2.16477000,-6.0636300,-4.684450,9.21837000
206.0,2.9084900,6.33124000,-6.9608100,11.0307000,8.559220,2.54023000,7.2637400,13.5265000,4.42558000,-3.0300400,-3.103300,12.79190000
205.0,4.2518100,8.67854000,-7.3786800,14.7386000,11.472400,5.70017000,9.1451800,16.9569000,6.80111000,0.7489810,-1.126410,16.12350000
204.0,5.5503600,10.97700000,-7.7265400,18.4188000,14.518200,9.10384000,10.8291000,20.1941000,8.94869000,5.3187300,1.178210,18.77970000
203.0,6.8317600,13.11770000,-8.0330500,21.7782000,17.488300,12.95930000,12.2459000,23.3251000,10.66810000,10.2891000,3.800230,21.03900000
