"Peptide Concentration (μmol L-1)",AT1,AT1,AT1,AT2,AT2,AT2,AT3,AT3,AT3,AT4,AT4,AT4,AT5,AT5,AT5,NE1,NE1,NE1,NE2,NE2,NE2,NE3,NE3,NE3,NE4,NE4,NE4,NG1,NG1,NG1,NG2,NG2,NG2,NG3,NG3,NG3
64.0,62.79940120,106.3333333,96.92544197,90.21113244,134.73154360,129.39271260,51.19904077,101.55709340,101.18543610,80.92744951,100.70571630,108.94514770,93.20083682,103.93442620,107.64174200,78.36575875,108.22368420,113.16907390,72.21206581,101.23456790,98.43878389,65.82506763,112.76422760,110.06546640,75.86206897,110.64175470,128.37398370,53.43330702,102.69387760,106.99755900,127.51407880,100.29542100,98.01678108,152.60115610,110.74840760,92.69202088
32.0,112.20059880,111.1666667,115.14219830,80.80614203,124.24496640,114.57489880,43.76498801,106.74740480,106.09652840,95.51234106,90.75511644,117.29957810,140.79497910,107.62295080,107.80608050,88.32684825,108.79934210,111.72472390,54.02193784,106.83127570,101.80772390,58.16050496,102.84552850,104.74631750,74.73763118,107.47359870,106.99186990,62.03630624,97.14285714,100.08136700,110.94127110,94.46085672,98.01678108,110.21194610,100.71656050,99.40343028
16.0,96.33233533,105.9166667,103.68946960,126.67946260,109.73154360,109.31174090,65.82733813,107.61245670,105.92718040,99.77561705,96.75370501,112.23628690,116.21338910,106.47540980,107.31306490,109.57198440,110.27960530,115.29311810,84.09506399,102.46913580,109.28512740,71.32551849,107.31707320,107.20130930,76.38680660,107.14865960,103.73983740,63.77269140,101.71428570,122.37591540,97.74738536,90.62038405,92.52479024,147.01348750,97.69108280,90.15659955
8.0,113.77245510,108.4166667,100.23059190,127.54318620,115.43624160,103.56275300,48.80095923,114.10034600,109.73751060,62.97681376,103.45800990,110.46413500,90.06276151,106.39344260,112.81840590,85.68093385,107.23684210,125.31860660,74.49725777,105.51440330,114.62612980,73.66997295,108.69918700,109.24713580,67.24137931,103.24939070,115.28455280,70.16574586,103.83673470,121.15541090,79.08286404,89.43870015,94.05034325,134.68208090,96.01910828,92.61744966
4.0,84.43113772,115.4166667,109.91544970,91.93857965,116.10738260,117.73279350,65.16786571,116.17647060,115.07197290,88.03290950,98.94142555,112.32067510,151.35983260,109.50819670,109.77814300,82.87937743,109.62171050,113.25403570,133.18098720,107.07818930,109.77814300,64.47249775,104.95934960,108.26513910,59.82008996,104.87408610,101.38211380,76.24309392,102.85714290,107.97396260,78.03700724,99.85228951,106.40732270,97.97687861,98.64649682,95.82401193
0.0,100.00000000,100.0000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000
