SequenceLength,SampleNo,WallClockTime,CPUTime,LogWallClockTime,LogSequenceLength
10,96,0.872373581,0.872586795,-0.136537528,2.302585093
10,97,0.874449253,0.874644792,-0.134161016,2.302585093
10,98,0.873605013,0.873834914,-0.135126936,2.302585093
10,99,0.875346899,0.875526779,-0.133135015,2.302585093
10,100,0.875696898,0.875934512,-0.132735255,2.302585093
30,1,0.919342518,0.916130105,-0.084096519,3.401197382
30,2,0.907346964,0.907546263,-0.097230362,3.401197382
30,3,0.906975269,0.907189109,-0.097640096,3.401197382
30,4,0.905505419,0.905726223,-0.099262017,3.401197382
30,5,0.905569792,0.905797205,-0.099190929,3.401197382
30,6,0.912919283,0.91312231,-0.091107811,3.401197382
30,7,0.905846834,0.906075522,-0.098885045,3.401197382
30,8,0.910176039,0.910367911,-0.094117249,3.401197382
30,9,0.90527463,0.90549615,-0.099516923,3.401197382
30,10,0.90868926,0.908896278,-0.095752091,3.401197382
30,11,0.909036398,0.909252616,-0.095370144,3.401197382
30,12,0.9071064,0.907291917,-0.097495526,3.401197382
30,13,0.907531977,0.907807266,-0.097026477,3.401197382
30,14,0.908379316,0.908627379,-0.096093239,3.401197382
30,15,0.908116102,0.908297803,-0.096383043,3.401197382
30,16,0.910480976,0.910703247,-0.093782274,3.401197382
30,17,0.906231165,0.906411816,-0.098460856,3.401197382
30,18,0.907505989,0.90771473,-0.097055113,3.401197382
30,19,0.908990383,0.909120862,-0.095420765,3.401197382
30,20,0.907242537,0.907448408,-0.097345459,3.401197382
30,21,0.906368732,0.906566143,-0.098309067,3.401197382
30,22,0.907735348,0.907960787,-0.09680241,3.401197382
30,23,0.905025721,0.905243612,-0.099791915,3.401197382
30,24,0.905920267,0.906117889,-0.098803982,3.401197382
30,25,0.907437563,0.907691138,-0.097130516,3.401197382
30,26,0.908901691,0.909084739,-0.095518341,3.401197382
30,27,0.909891367,0.91011246,-0.094430064,3.401197382
30,28,0.90892005,0.909110673,-0.095498142,3.401197382
30,29,0.907124043,0.907343871,-0.097476076,3.401197382
30,30,0.905099869,0.905307831,-0.099709989,3.401197382
30,31,0.907643318,0.907891195,-0.096903799,3.401197382
30,32,0.906636477,0.906841205,-0.098013706,3.401197382
30,33,0.908139229,0.908343091,-0.096357576,3.401197382
30,34,0.906696081,0.906917108,-0.097947967,3.401197382
30,35,0.90874958,0.908974384,-0.095685712,3.401197382
30,36,0.909002542,0.909236812,-0.095407388,3.401197382
30,37,0.908624411,0.908820727,-0.095823459,3.401197382
30,38,0.921123981,0.921307084,-0.082160636,3.401197382
30,39,0.914672136,0.914861983,-0.089189599,3.401197382
30,40,0.91235733,0.912577418,-0.091723556,3.401197382
30,41,0.915841103,0.916001709,-0.087912398,3.401197382
30,42,0.910157204,0.910371314,-0.094137943,3.401197382
30,43,0.905626774,0.905839624,-0.099128007,3.401197382
30,44,0.908281326,0.908496361,-0.096201118,3.401197382
30,45,0.905463219,0.905659973,-0.099308622,3.401197382
30,46,0.90577054,0.905961155,-0.098969272,3.401197382
30,47,0.907245636,0.907464996,-0.097342043,3.401197382
30,48,0.907488585,0.907704507,-0.097074291,3.401197382
30,49,0.905694246,0.905927762,-0.099053507,3.401197382
30,50,0.908554554,0.908700595,-0.095900345,3.401197382
30,51,0.906075001,0.906274481,-0.098633194,3.401197382
30,52,0.908014297,0.90821225,-0.096495155,3.401197382
30,53,0.906160355,0.906415345,-0.098538996,3.401197382
30,54,0.906509876,0.906709473,-0.098153354,3.401197382
30,55,0.905772209,0.906017465,-0.098967429,3.401197382
